"text","label"
"the etroeungt formation is a geologic formation in germany . it preserves fossils dating back to the devonian period .","1"
"as built in 1896 . this project the steward illinois depot project , inc. was being projected as a bicentennial venture during t","1"
"       s wedding , he loses a bundle . when max finds out about the debt , he decides to marry the wealthy lady joan to keep flo","1"
"zech professional ice hockey defenceman . he played with hc oceli tinec in the czech extraliga during the 201011 czech extraliga","1"
"ut . bradford barnette , with crumit , 33 , named as co-respondent . crumit was married to a connecticut woman at the time      ","1"
"as the second british single from the album , backed with down all the days . the single failed to chart . the single was also r","1"
"avels in thailand . after finn joined the channel , the views nearly doubled . jackgap attracts teenage girls in particular , wi","1"
"d the two sleights of hand , explaining he was surprised by fauxlivia s universe-crossing device failing and what happened to pe","1"
"mladi , who was caught during the shooting of this film . mladi is being held responsible for the mass murder of at least 8,000 ","1"
"f eighteen and 9.5% of those sixty five or over .  notable people  *theodore christianson - 21st governor of minnesota ; born in","1"
"s each and four batteries with four su-76 tank destroyers each . each regiment had an additional su-76 tank destroyer as a comma","1"
"ather than a pastoral opera . for his original production in 1728 , gay intended all the songs to be sung without any accompanim","1"
"  is a german telenovela produced by studio hamburg serienwerft lneburg and broadcast by das erste since 6 november 2006 . the s","1"
"l .  characters with radical 202  border= 1 cellpadding= 3 cellspacing= 0 style= border-collapse : collapse ; text-align:left ; ","1"
" were 20 housing units at an average density of 87.0/sqmi /km2 . the racial makeup of the city was 90.3% white , 3.2% from other","1"
"d the stage was closed and walled off from the rest of the structure . in 1981 both of the cinemas were           inside the the","1"
"trichromia apiciplaga   is a moth in the arctiidae family . it was described by rothschild in 1909 . it is found in brazil .","1"
" chief to take initiative and aids him in saving the remaining cadets .   forward unto dawn   received a streamy award and sever","1"
"trichromia apiciplaga   is a moth in the arctiidae family . it was described by rothschild in 1909 . it is found in brazil .","1"
"dehkuyeh rural district , in the central district of larestan county , fars province , iran . at the 2006 census , its populatio","1"
"ath * ghiyasuddin mahmud shah becomes ruler of the sultanate of bengal following his nephew s assassination  births  * sant ekna","1"
"william slingsby was a soldier . william slingsby may also refer to : *william cecil slingsby *william slingsby for bodmin","1"
" a british adventure film * masque dor , a french prize for amateur productions awarded every four years by the fdration nationa","1"
"d while doing construction work on the big dig project in boston . he later attended the north bennet street school in boston , ","1"
"subdivisiontype1 =region bakassouck is a settlement in senegal .","1"
"ict , byaban district , minab county , hormozgan province , iran . at the 2006 census , its population was 1,467 , in 238 famili","1"
"dr. bessel   *   panic   *   diary of a lost girl   *   frulein else   *   tragedy of youth   *   somnambul   *   it s you i hav","1"
"shk or kareshk or kereshk may refer to : * kareshk , kerman * kareshk , razavi khorasan * koreshk , south khorasan * kareshk , s","1"
"om a formal method of statistical inference .  informal inferential reasoning and statistical inference  since everyday life inv","1"
"antonio broso is an italian professional football player currently playing for a.s.c. ebolitana.","1"
"l american and caribbean games was held in cartagena , colombia on 2829 july .  medalists  * athletes who competed in heats only","1"
"e 2013 summer universiade from july 9 to 15 in kazan , russia .  medal summary   medal table  - ! colspan=2 total 3 3 3 9  medal","1"
". * 965 bcdavid , king of the ancient israelites , died .  significant people  * solomon , king of the kingdom of israel * snake","1"
"rovince qeshlaq-e qarah kakil ayaz is a village in qeshlaq-e jonubi rural district , qeshlaq dasht district , bileh savar county","1"
" any transition to take place in the vibrational state of the molecule , as is the law of nature , explained thoroughly in quant","1"
"ould sign their second amateur free agent , defenceman phil rauch . rauch , a native of the toledo suburb of temperance , michig","1"
"mathew is the chairman of the kerala congress , a splinter faction of the kerala congress . career noble mathew is contesting as","1"
"a partial list of interviewees includes peter thiel , scott bessent , and jim rogers . *in 2010 , drobny published   the invisib","1"
" university . as of the late 1990s , ponzio began appearing in supporting guest roles on television series , including   dawson ","1"
"le   contributions to canadian economics   . in 1967-1968 the journal was split into the   canadian journal of economics   and t","1"
"y . according to critic aggregation website rotten tomatoes , the blog agrees with popular opinion 66% of the time .    the film","1"
"ality of ansbach and kulmbach , silesian duke of the duchy of krnov and guardian administrator of the duchy of prussia . as such","1"
"icle is the local newspaper in the town of sevenoaks , kent , england . it is published every thursday by the kent and sussex co","1"
"ck and mike salerno , percussionist steele medina and bassist alessandro paveri . their debut album   lux   , was released in 20","1"
